"","OTU_97.360","OTU_97.1096","OTU_97.2487","OTU_97.15869","OTU_97.29850","OTU_97.67","OTU_97.16585","OTU_97.35535","OTU_97.6703","OTU_97.1656","OTU_97.32588","OTU_97.33687","OTU_97.12461","OTU_97.37599","OTU_97.37902","OTU_97.39144","OTU_97.402","OTU_97.7623","OTU_97.26561","OTU_97.31428","OTU_97.226","OTU_97.9679","OTU_97.15051","OTU_97.29387","OTU_97.800","OTU_97.586","OTU_97.401","OTU_97.158","OTU_97.3264","OTU_97.255","OTU_97.7662","OTU_97.27756","OTU_97.175","OTU_97.16633","OTU_97.39322","OTU_97.331","OTU_97.4904","OTU_97.346","OTU_97.885","OTU_97.384","OTU_97.501","OTU_97.585","OTU_97.213","OTU_97.755","OTU_97.772","OTU_97.523","OTU_97.379","OTU_97.365","OTU_97.488","OTU_97.1399","OTU_97.281","OTU_97.337","OTU_97.424","OTU_97.26200","OTU_97.211","OTU_97.6580","OTU_97.35940","OTU_97.674","OTU_97.421","OTU_97.702","OTU_97.785","OTU_97.361","OTU_97.663","OTU_97.545","OTU_97.10199","OTU_97.339","OTU_97.288","OTU_97.42522","OTU_97.720","OTU_97.38248","OTU_97.286","OTU_97.2881","OTU_97.4651","OTU_97.7888","OTU_97.810","OTU_97.266","OTU_97.15337","OTU_97.155","OTU_97.617","OTU_97.683","OTU_97.181","OTU_97.23942","OTU_97.35268","OTU_97.34294","OTU_97.41674","OTU_97.571","OTU_97.43194","OTU_97.37076","OTU_97.37565","OTU_97.27813","OTU_97.37636","OTU_97.18624","OTU_97.43372","OTU_97.21746","OTU_97.26563","OTU_97.36971","OTU_97.16265","OTU_97.34800","OTU_97.39377","OTU_97.39184","OTU_97.699","OTU_97.645","OTU_97.27152","OTU_97.37903","OTU_97.23922","OTU_97.15271","OTU_97.10619","OTU_97.27041","OTU_97.10089","OTU_97.2847","OTU_97.38273","OTU_97.35521","OTU_97.5287","OTU_97.5561","OTU_97.57","OTU_97.4859","OTU_97.294","OTU_97.28512","OTU_97.1397","OTU_97.24025","OTU_97.154","OTU_97.24168","OTU_97.1681","OTU_97.144","OTU_97.15190","OTU_97.184","OTU_97.2918","OTU_97.204","OTU_97.6755","OTU_97.10101","OTU_97.16695","OTU_97.28399","OTU_97.24927","OTU_97.7657","OTU_97.4800","OTU_97.28748","OTU_97.7475","OTU_97.43362","OTU_97.38958","OTU_97.34","OTU_97.2297","OTU_97.7287","OTU_97.34683","OTU_97.28526","OTU_97.11618","OTU_97.24636","OTU_97.37987","OTU_97.29561","OTU_97.33056","OTU_97.18153","OTU_97.768","OTU_97.35237","OTU_97.14403","OTU_97.32564","OTU_97.34458","OTU_97.39245","OTU_97.14746","OTU_97.741","OTU_97.18382","OTU_97.33679","OTU_97.22716","OTU_97.24475","OTU_97.24870","OTU_97.25475","OTU_97.29574","OTU_97.29803","OTU_97.34780","OTU_97.34925","OTU_97.35176","OTU_97.35852","OTU_97.38665","OTU_97.38720","OTU_97.38931","OTU_97.39171","OTU_97.39459","OTU_97.5659","OTU_97.734","OTU_97.9982","OTU_97.14","OTU_97.1654","OTU_97.10938","OTU_97.20215","OTU_97.1201","OTU_97.5474","OTU_97.30402","OTU_97.37368","OTU_97.23136","OTU_97.28270","OTU_97.510","OTU_97.5894","OTU_97.824","OTU_97.1693","OTU_97.30088","OTU_97.29317","OTU_97.28280","OTU_97.8409","OTU_97.38818","OTU_97.11972","OTU_97.10385","OTU_97.232","OTU_97.41706","OTU_97.186","OTU_97.1779","OTU_97.37","OTU_97.24809","OTU_97.12279","OTU_97.36155","OTU_97.13028","OTU_97.41577","OTU_97.6625","OTU_97.16529","OTU_97.34479","OTU_97.13004","OTU_97.16539","OTU_97.34528","OTU_97.22261","OTU_97.19082","OTU_97.26863","OTU_97.10485","OTU_97.41853","OTU_97.28027","OTU_97.14926","OTU_97.22576","OTU_97.34703","OTU_97.29005","OTU_97.14061","OTU_97.20153","OTU_97.2464","OTU_97.18729","OTU_97.3911","OTU_97.24464","OTU_97.1677","OTU_97.34371","OTU_97.13450","OTU_97.73","OTU_97.40820","OTU_97.21012","OTU_97.11659","OTU_97.32087","OTU_97.5785","OTU_97.14116","OTU_97.10428","OTU_97.19163","OTU_97.33220","OTU_97.121","OTU_97.22041","OTU_97.25726","OTU_97.3324","OTU_97.9451","OTU_97.39984","OTU_97.5074","OTU_97.41989","OTU_97.29794","OTU_97.43210","OTU_97.43632","OTU_97.8514","OTU_97.40762","OTU_97.14259","OTU_97.59","OTU_97.30556","OTU_97.7542","OTU_97.36771","OTU_97.8830","OTU_97.31673","OTU_97.36663","OTU_97.22942","OTU_97.26883","OTU_97.1486","OTU_97.13522","OTU_97.43425","OTU_97.6433","OTU_97.43637","OTU_97.9316","OTU_97.951","OTU_97.18018","OTU_97.12419","OTU_97.15133","OTU_97.43023","OTU_97.31553","OTU_97.152","OTU_97.3161","OTU_97.3545","OTU_97.13145","OTU_97.404","OTU_97.13820","OTU_97.33897","OTU_97.20597","OTU_97.170","OTU_97.41441","OTU_97.41948","OTU_97.33390","OTU_97.1635","OTU_97.23009","OTU_97.11641","OTU_97.86","OTU_97.16034","OTU_97.36559","OTU_97.27883","OTU_97.34765","OTU_97.43213","OTU_97.13936","OTU_97.3002","OTU_97.25028","OTU_97.25986","OTU_97.3016","OTU_97.43403","OTU_97.578","OTU_97.381","OTU_97.15603","OTU_97.23396","OTU_97.118","OTU_97.10513"
"700015179",5,3,5,13,1,10,1,2,2,2,0,14,3,17,118,7,3,0,2,1,2,4,4,8,3,11,26,8,1,0,0,0,2,1,0,8,8,0,0,4,0,0,23,2,1,0,13,5,0,0,0,28,9,1,12,5,4,3,0,6,1,1,0,2,3,3,0,1,0,0,0,1,4,23,0,15,5,6,2,3,1,7,1,5,7,1,9,0,1,0,6,1,0,2,9,3,6,5,2,29,0,1,37,28,7,22,58,21,7,2,35,3,42,80,239,8,23,0,1,37,20,0,0,0,0,6,2,72,0,37,0,172,2,78,62,3,0,5,0,0,0,0,243,11,4,30,1,20,6,38,0,0,1,5,23,0,8,2,0,0,13,193,0,0,0,850,4,1,120,6,1,0,784,20,198,8,11,1,7,9,11,0,0,0,42,2,23,0,0,55,2,0,0,1,1,17,0,1,1,0,31,9,16,78,29,22,10,1,12,19,4,3,46,8,47,1,31,24,2,1,4,1,1,387,11,3,0,3,2,2,21,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,3,0,1,0,0,0,0,0,2,16,157,0,6,37,0,93,91,6,50,16,1,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,7,12,0
"700015245",4,13,3,21,3,27,8,1,3,16,15,28,3,95,87,26,8,1,4,1,4,1,10,12,4,0,20,47,13,0,0,2,0,0,4,68,4,0,9,29,0,0,11,0,1,0,1,2,0,0,0,7,1,6,2,0,1,24,8,0,0,1,3,2,0,2,0,0,0,0,1,0,0,0,3,1,0,1,0,1,1,2,0,3,7,0,3,2,1,1,9,2,1,2,0,0,0,0,0,3,2,0,2,42,2,9,26,10,1,2,35,1,15,11,108,3,13,0,2,7,13,37,9,0,0,0,7,45,0,0,0,0,2,1,0,2,15,0,0,3,18,23,8,0,0,2,2,0,0,0,2,0,0,0,1,2,0,0,0,3,0,2,6,22,0,6,0,44,6,0,3,0,44,3,5,0,3,0,1,0,1,15,0,0,0,11,0,4,0,0,1,8,7,2,0,1,23,23,0,60,0,0,0,8,1,4,0,1,2,0,0,0,4,2,5,0,0,0,0,3,0,0,0,8,0,1,1,0,0,0,1,1,14,1,2,20,3,5,3,7,7,0,3,22,7,3,0,0,0,5,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,3,0,4,4,1,2,6,0,2,0,4,2,3,0,0,0,0,4,5,3,8,0,9,1,0,9,0,9,6,1,0,2,6,3,3,1,1,4,1,0,8,4,19,38,0
"700015386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,7,6,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,39,8,4,0,0,2,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,7,9,16,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,9,0,0,0,4,35,67,363,25,32,15,3,1,2,0,1,8,32,223,2,1,87,1,11,7,4,0,76,6,5,2,1,7,3,2,0,21,66,1,91,50,317,14,22,550,24,2,19,508,1294,54,1,6,6,651,11,6,5,40,61,7,2,2,0,165,8,5,28,7,4,108,65,147,55,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,46,2211,57,4,7,5,4,15,6,8,142,32,19,11,0,2,0,0,0,9,103,0,1,29,1,35,44,3,3,0,0,2,4,4,2,3,9,2,14,2,8,1,0,0,16,0,0,0,0,0,0,0,1,53,14,0,6,1,0,93,1,65,27,17,6,11,5,0,6,34,24,14,2,0,0,0,0,0,0
"700015390",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,48,0,0,0,0,0,4,17,3,0,0,0,0,0,0,0,1,0,0,1,11,2,0,0,0,0,0,0,5,9,0,3,0,0,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,46,19,4,17,3,1,5,4,0,0,11,22,137,1,0,6,2,16,1,1,4,11,1,2,1,0,0,2,1,2,3,23,14,5,3,36,28,95,4,9,3,1,122,52,33,2,7,8,104,4,2,37,20,66,5,7,42,5,62,4,0,13,5,5,5,4,12,24,21,0,4,0,0,24,4,7,1,2,0,4,3,0,13,6,4,0,3,4,1,1,0,2,2,35,1,0,1,5,3,1,14,1,85,11,120,1,1,0,0,1,0,0,0,7,3,1,13,0,5,22,1,1,3,7,8,0,14,8,2,32,3,3,1,0,3,1,35,2,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,4,1,1,4,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0
"700015394",5,3,6,8,1,11,9,1,1,13,6,5,0,103,61,6,3,1,46,2,28,2,1,4,0,2,0,25,0,14,16,10,0,0,0,17,5,0,0,15,0,0,18,0,0,0,9,7,0,2,1,28,2,4,1,0,2,8,2,2,1,2,0,7,5,1,2,41,1,2,0,0,0,0,4,53,190,309,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,3,0,0,0,1,0,53,1,5,14,11,2,2,33,2,6,11,144,0,37,1,0,14,10,24,1,69,3,0,1,6,0,2,1,6,0,3,0,0,4,0,0,1,24,2,20,0,0,1,3,0,0,0,0,3,0,1,1,0,0,0,1,4,0,1,13,3,0,12,0,166,51,24,5,0,28,2,4,0,6,0,4,0,0,4,0,0,0,2,2,0,1,0,0,62,4,3,0,0,66,80,0,2,2,0,0,111,5,10,19,0,0,11,62,2,12,0,3,0,27,11,6,0,0,0,0,52,1,1,0,0,0,0,1,2,18,5,31,5,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,3,7,0,2,3,0,2,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,1,0,1,3,0,1,0,4,0,1,2,5,1,1,5,0,3,0,0,0,4
"700015702",10,0,1,1,0,1,5,0,0,1,1,0,3,61,35,2,0,4,4,0,6,5,1,1,0,0,0,2,2,1,0,0,0,0,5,1,2,1,0,13,0,0,0,0,0,4,6,9,1,0,47,12,16,2,0,0,0,6,4,2,1,29,3,13,0,2,2,19,1,16,20,31,20,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,7,0,0,0,0,0,0,1,1,0,0,0,0,0,31,3,0,101,80,74,6,1,0,103,0,149,0,8,1,18,1,1,1,0,0,0,780,52,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,23,20,3,0,0,0,16,0,0,0,1,1,0,0,0,0,4,0,0,3,0,0,1,0,0,0,3,33,17,51,35,336,74,30,39,4,23,29,1,5,82,21,46,1,36,110,1,0,16,43,0,1046,32,2,1,8,1,4,9,2,4,0,37,0,2,0,2,1,8,1,0,8,7,0,2,0,0,5,1,0,16,89,3,0,19,0,16,23,1,4,4,0,0,3,5,1,3,0,0,0,0,0,0,0,0,0,40,61,1,7,5,15,0,0,13,12,1,25,17,4,70,2,134,55,37,6,22,5,6,12,82,80,25,0,2,0,0,13,118,1
"700015979",15,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,2,2,2,0,13,2,116,56,52,6,39,0,0,4,3,16,5,0,1,0,0,8,0,0,0,4,2,0,0,2,0,1,4,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,8,5,4,3,0,1,17,18,9,5,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,94,103,51,82,0,0,0,0,23,36,10,99,34,11,19,3,4,6,10,0,1,9,19,80,2,2,27,3,37,2,2,2,7,2,7,0,3,3,4,6,2,5,25,35,47,9,85,22,324,54,10,5,0,383,298,45,8,14,21,126,4,1,38,30,62,5,7,14,0,74,4,4,22,1,0,7,6,15,18,26,0,27,0,0,246,57,47,40,0,17,11,2,6,64,30,38,4,13,28,4,2,14,0,16,96,7,1,37,1,3,0,50,34,0,0,0,30,11,11,8,13,9,1,7,148,57,29,2,14,4,4,1,109,0,8,9,9,1,0,7,1,6,0,13,6,3,4,1,0,0,76,132,67,87,185,38,60,58,297,0,1,8,24,24,2,0,0,0,0,0,0,0,0,0,9,147,77,13,3,21,36,31,14,21,27,39,2,1,0,0,0,0,22
"700016000",0,51,28,101,13,432,42,12,37,106,87,105,7,516,395,91,0,1,5,0,0,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,21,18,151,0,0,25,0,0,2,11,2,6,0,8,1,0,0,0,0,0,0,14,74,0,0,0,1,0,0,0,7,12,4,1,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,1,1,20,4,1,3,7,0,7,3,66,1,0,7,2,28,46,0,0,2,0,70,1,0,1,13,0,3,1,5,0,0,0,0,0,0,1,2,26,0,0,0,1,7,2,0,0,1,1,0,2,0,0,0,0,0,1,2,3,0,0,25,1,5,55,1,3,0,160,1,25,1,0,0,7,0,0,0,0,0,0,0,4,1,0,0,0,4,16,0,0,2,1,5,0,0,52,0,0,361,338,121,22,6,43,14,5,16,322,45,268,13,167,43,2,173,11,5,8,1163,14,11,115,5,17,8,37,22,552,38,84,0,0,0,0,0,0,0,0,0,0,1,17,2,47,398,90,15,487,428,200,27,224,51,261,132,28,64,142,27,38,69,0,33,26,34,59,25,12,75,19,21,21,144,0,0,116,9,29,722,148,5,14,84,52,18,12,11,158,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,1278,511,0
"700016004",5,1,1,1,0,2,0,0,0,1,1,9,1,17,19,3,2,3,13,0,5,0,3,1,1,3,1,32,11,8,1,2,2,0,1,0,12,3,3,10,1,0,14,7,10,15,51,14,5,0,0,0,8,4,26,1,9,22,5,0,0,0,0,41,5,6,8,1,1,0,0,1,1,10,12,150,158,115,2,3,1,0,0,0,0,0,4,0,1,0,0,0,2,2,0,0,0,1,0,1,1,0,8,27,4,9,15,17,2,4,19,6,3,3,82,1,52,13,3,34,70,4,10,1,0,15,5,64,17,12,0,33,18,24,7,5,18,4,95,400,19,34,178,8,0,4,12,42,3,0,7,0,7,4,1,5,3,3,3,6,6,8,6,7,1,60,2,107,114,30,7,0,692,2,121,1,9,0,7,1,0,33,0,0,3,2,31,9,0,0,7,50,12,5,0,4,29,17,0,17,30,19,15,278,21,74,29,3,3,10,0,1,172,5,33,0,19,65,1,7,5,3,4,46,14,3,2,7,0,3,12,24,334,17,46,3,1,0,3,4,5,0,1,14,12,3,11,5,6,16,5,0,16,67,9,3,13,5,18,26,0,8,6,2,5,24,23,12,15,0,0,1,1,3,1,2,0,1,123,142,4,31,30,7,6,0,0,0,2,0,0,1,0,6,90,50,19,1,7,14,9,11,6,20,22,13,4,15,8,0,0,0
"700016008",2,13,5,11,7,39,5,2,5,6,10,4,1,89,65,24,3,2,11,4,5,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,0,0,7,0,0,10,129,0,1,6,2,6,3,0,0,0,0,0,30,3,0,1,4,2,3,2,0,0,27,1,150,193,111,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,1,3,11,13,2,1,18,1,3,0,49,3,29,0,0,14,13,14,6,85,9,171,2,3,2,5,1,0,4,4,0,1,7,1,0,2,13,28,26,0,0,7,1,12,0,0,1,6,0,2,0,1,0,0,5,2,2,6,3,171,5,26,1,21,22,1,2,1,81,21,5,1,14,2,20,3,0,5,1,9,1,1,4,0,9,0,7,19,11,0,9,11,35,25,1,4,1,0,0,76,4,13,2,1,2,4,0,1,19,4,6,0,5,18,1,1,3,0,18,14,2,0,0,2,3,1,11,1,149,17,171,1,0,3,1,1,1,6,0,10,5,2,8,0,3,17,3,1,1,12,5,1,5,2,5,7,1,4,4,0,3,9,3,4,9,3,4,4,1,5,0,1,1,10,1,6,0,3,2,1,2,2,1,0,0,1,1,0,1,3,24,19,3,0,1,6,2,2,6,9,6,0,0,77,33,0,1,23
"700016136",0,28,2,8,4,34,4,1,5,20,8,15,3,85,75,24,0,0,33,30,106,0,1,0,1,0,0,28,14,17,5,0,0,0,0,50,19,7,0,0,0,0,0,0,0,0,0,0,46,15,0,3,0,0,1,0,0,0,2,1,20,26,77,0,1,0,0,0,0,187,227,98,116,3,2,22,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4681,418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,14,98,59,21,9,2,2,5,1,2,49,1,29,1,9,9,1,2,1,0,1,101,2,1,22,2,0,2,4,6,0,0,0,65,7,4,32,16,22,99,1,94,109,30,5,12,3,0,0,0,1,28,0,9,0,0,563,1,3,0,29,13,1,0,0,8,1,121,237,28,66,186,45,45,27,71,0,3,29,60,5,1,1,0,13,8,5,44,2,3,6,53,684,175,68,13,121,105,97,49,31,297,92,0,2,3,3,0,0,0
"700016542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,5,0,2,12,10,0,1,17,2,3,2,47,0,3,0,4,1,2,0,1,1,0,1,0,10,24,12,0,16,2,7,4,0,4,1,0,0,79,10,56,1,0,7,6,4,35,4,6,1,4,0,0,4,124,0,5,4,13,176,4,46,13,91,0,101,20,5,1,34,89,2,7,4,13,0,1,9,64,0,0,0,5,3,1,0,0,67,2,28,6,16,0,5,27,272,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,6,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,0,0,5,25,11,2,4,8,31,4,0,21,3,2,2,2,1,0,0,0,0
"700016608",2,3,1,1,0,0,3,1,3,7,3,0,1,15,16,4,1,1,4,0,2,1,0,2,4,6,2,13,0,4,2,3,8,2,2,10,18,0,2,31,5,0,3,0,9,36,2,3,1,2,0,3,3,6,28,4,13,0,13,0,0,0,1,9,2,1,8,4,8,1,1,0,0,1,7,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,1,3,1,0,0,1,0,1,2,0,1,4,1,0,1,5,0,2,2,11,0,18,0,0,2,2,4,0,0,0,4,0,19,17,0,98,6,5,0,0,0,28,0,44,8,48,64,12,0,0,0,2,2,0,0,3,1,0,0,0,0,0,0,8,4,0,0,1,43,10,3,7,224,0,0,9,6,23,381,8,0,12,15,156,0,0,94,12,83,0,2,0,8,79,1,0,39,13,5,2,0,83,74,36,0,5,0,0,53,18,12,5,0,2,17,16,1,28,1,8,2,58,2,11,5,1,0,0,41,1,1,2,1,0,0,2,7,27,2,5,49,0,0,0,2,1,0,0,7,3,3,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,3,1,0,24,24,6,19,45,11,16,9,17,0,0,1,13,2,2,0,17,1,2,0,0,2,0,0,7,82,49,11,5,7,22,13,13,2,28,19,2,0,0,0,0,0,0
"700016902",15,0,0,0,0,1,0,0,0,0,0,0,0,6,4,26,1,1,1,5,5,0,0,0,0,0,1,4,0,0,1,0,0,7,0,1,3,0,0,0,0,0,1,0,2,10,4,2,0,2,1,3,1,5,0,0,0,5,0,1,0,0,1,0,2,8,0,0,0,0,0,0,3,15,0,0,0,0,2,10,0,0,0,0,0,0,1,0,0,0,5,2,0,0,6,2,5,11,0,0,8,1,26,9,2,5,23,21,1,2,25,4,12,8,107,1,2,1,0,8,7,14,4,2,1,22,4,60,26,18,0,46,18,13,5,1,5,4,0,0,40,2,128,9,0,3,2,22,81,5,2,2,2,2,3,2,351,2,1,1,45,177,0,4,44,212,23,44,55,28,0,11,428,137,61,3,10,5,142,7,234,0,49,12,10,0,23,4,18,159,5,15,6,7,14,6,14,132,32,12,0,0,0,66,0,19,0,0,0,1,0,0,11,5,23,4,2,0,0,3,1,22,3,106,2,0,1,11,0,0,2,0,0,0,0,0,1,2,2,2,3,1,26,26,64,27,1,1,0,0,0,1,1,0,0,1,0,0,0,5,0,0,9,7,0,1,2,0,0,61,7,11,0,10,7,5,3,4,2,36,1,13,12,0,0,4,0,1,0,0,2,0,1,4,28,17,1,7,8,33,6,0,20,7,4,1,0,6,7,3,12,0
"700021295",1,14,4,2,2,27,2,2,2,11,8,5,2,63,109,19,0,0,5,1,2,0,0,1,0,2,1,18,16,0,2,0,9,2,2,4,8,5,1,18,5,4,10,21,0,0,2,0,11,3,20,2,4,3,60,9,7,0,11,2,0,0,0,7,1,0,0,3,8,0,0,0,1,11,2,25,14,17,2,3,0,0,7,3,5,11,27,1,7,6,8,0,2,1,2,1,10,5,1,3,0,1,0,3,0,0,3,3,0,0,2,1,2,2,37,0,0,2,1,10,7,5,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,282,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,8,42,6,13,3,0,1,1,0,1,15,0,2,1,2,3,0,0,0,0,0,98,0,0,2,4,0,1,0,1,0,0,0,1,0,0,0,1,0,0,4,17,9,1,0,1,0,1,1,0,3,2,0,0,0,0,0,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,10,0,2,3,0,2,0,0,2,0,0,3,38,3,1,0,1,3,6,0,5,3,6,21,0,0,0,0,0,6
"700021677",26,55,12,69,7,94,4,9,4,64,42,23,28,177,285,78,7,6,9,4,12,7,71,2,33,32,0,0,0,0,0,0,311,34,0,0,0,0,0,10,85,0,7,0,19,11,0,11,12,35,76,25,28,4,0,0,0,8,0,0,15,14,4,10,0,0,0,0,0,6,10,5,12,7,3,7,4,2,17,0,16,46,25,69,102,9,106,44,33,14,0,0,13,11,7,18,33,109,71,75,0,13,0,31,0,13,67,47,6,9,85,1,16,32,319,2,0,2,2,12,7,21,3,3,2,142,7,14,27,1,0,2,3,1,0,3,67,0,0,3,98,117,6,3,0,0,12,2,0,0,10,1,4,0,0,9,0,0,10,17,0,2,70,6,1,4,4,608,2,0,7,5,76,1,3,0,14,0,0,0,0,51,0,0,0,3,0,21,0,0,5,88,61,30,1,0,127,919,0,35,2,0,0,9,1,3,1,0,0,1,16,0,13,3,1,0,57,2,1,2,0,0,0,12,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,31,1,2,48,2,19,3,21,2,7,15,3,10,19,9,3,0,0,3,38,91,2,10,0,0,0,0,0,0,0,0,0,12,208,3,15,4,0,66,33,43,8,16,91,4,5,15,7,59,5,1,5,1,7,11,0,18,11,8,18,76,0,0,144,145,0
"700021902",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,295,199,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,11,0,0,17,0,0,0,0,7,1,0,34,2,20,16,0,10,1,0,1,19,3,89,2,1,2,1,10,0,0,0,0,3,1,1,5,0,1,0,2,2,176,3,25,0,138,0,243,111,2,1,3,675,0,37,15,2,1,2,5,1,4,0,0,0,1,2,2,0,8,1,9,2,8,1,7,24,87,0,3,0,0,0,0,1,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,6,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
